hr,name,ra_degrees,dec_degrees,Vmag
7321,AqlBD+00 4170,289.71208333333334,0.33916666666666667,6.41
7322,BD+46 2658,289.21416666666664,46.99916666666667,6.00
7323,CD-3215071,290.1091666666666,-31.817777777777778,6.58
7324,BD+30 3502,289.50333333333333,31.022222222222222,6.68
7325,BD+09 4057,289.71958333333333,9.618055555555555,6.32
7326,BD+19 3975,289.70208333333335,19.610555555555557,6.58
7327,BD-22 5063,290.15874999999994,-22.4025,5.58
7328,CygBD+53 2216,289.27583333333337,53.368611111111115,3.77
7329,TelCP-54 9339,290.7129166666667,-54.42361111111111,5.05
7330,CD-3513422,290.3745833333333,-34.98388888888889,6.48
7331,AqlBD+12 3879,289.91374999999994,12.374722222222223,5.53
7332,2AqlBD+11 3802,289.9708333333333,11.535,6.02
7333,AqlBD-05 4936,290.1370833333333,-5.4158333333333335,5.01
7334,CD-4214133,290.53999999999996,-42.01611111111111,6.34
7335,BD+33 3409,289.7658333333333,33.388888888888886,6.60
7336,AqlBD-01 3716,290.14874999999995,-0.8922222222222221,5.49
7337,1SgrCD-4413277,290.6595833333333,-44.45888888888889,4.01
7338,BD+37 3413,289.755,37.445277777777775,6.22
7339,BD-19 5412,290.4045833333333,-19.234166666666667,6.26
7340,1SgrBD-18 5322,290.41833333333335,-17.84722222222222,3.93
7341,BD+49 2977,289.65708333333333,49.569722222222225,6.31
7342,SgrBD-16 5283,290.4316666666667,-15.955,4.61
7343,2SgrCD-4513171,290.80499999999995,-44.79972222222222,4.29
7344,2SgrBD-18 5325,290.46208333333334,-18.308333333333334,5.87
7345,BD+37 3417,289.9120833333333,37.330555555555556,6.31
7346,BD+34 3503,290.13791666666657,35.18611111111111,6.31
7347,BD-08 4950,290.58624999999995,-8.20111111111111,6.31
7348,SgrCD-4013245,290.97166666666664,-40.61611111111111,3.97
7349,BD-00 3725,290.58958333333334,-0.2525,5.83
7350,CD-4313352,291.08916666666664,-43.723055555555554,6.17
7351,BD+54 2123,289.9020833333333,54.376111111111115,6.26
7352,DraBD+73  857,288.88749999999993,73.35555555555555,4.45
7353,BD-07 4942,290.7691666666666,-7.400277777777778,6.32
7354,BD+09 4081,290.70166666666665,9.913055555555555,6.35
7355,CD-2815767,291.1254166666666,-27.865555555555556,6.04
7356,BD+57 1986,290.0670833333333,57.64527777777778,5.91
7357,BD+14 3896,290.78416666666664,14.921111111111111,6.64
7358,VulBD+25 3811,290.71208333333334,26.2625,5.18
7359,BD+33 3434,290.63916666666665,33.518055555555556,6.06
7360,CD-2916104,291.2670833333333,-29.309166666666666,5.93
7361,BD+64 1344,289.9420833333333,64.39083333333333,6.52
7362,1SgrCD-2415303,291.31874999999997,-24.50861111111111,5.03
7363,3SgrCD-2415307,291.37375,-23.96222222222222,5.43
7364,BD+19 4000,290.94541666666663,20.264444444444443,6.40
7365,BD+57 1993,290.35583333333335,57.76694444444444,6.43
7366,BD-05 4964,291.25666666666666,-4.884166666666666,6.52
7367,BD-14 5428,291.34,-13.896944444444443,5.69
7368,BD+32 3411,290.8916666666666,33.22222222222222,6.37
7369,SgeBD+16 3839,291.0920833333333,16.93777777777778,6.25
7370,CP-54 9371,291.95041666666657,-54.32527777777778,5.69
7371,DraBD+65 1345,290.1670833333333,65.71472222222222,4.59
7372,CygBD+29 3584,291.03166666666664,29.62138888888889,4.97
7373,AqlBD+11 3833,291.24249999999995,11.944444444444445,5.16
7374,BD+27 3379,291.0933333333333,28.087777777777777,6.53
7375,SgrBD-22 5105,291.58,-21.776666666666667,5.59
7376,BD+36 3539,291.0254166666666,36.45194444444445,6.36
7377,AqlBD+02 3879,291.3745833333333,3.1147222222222224,3.36
7378,BD-15 5348,291.54625,-15.053055555555556,5.72
7379,BD-14 5435,291.60249999999996,-14.551111111111112,6.70
7380,CD-2916140,291.73541666666665,-29.743333333333336,5.67
7381,BD+49 2994,290.84916666666663,50.271388888888886,6.51
7382,BD+43 3229,290.98541666666665,43.38805555555555,5.84
7383,CP-68 3251,292.7954166666666,-68.43388888888889,5.96
7384,BD+19 4009,291.34333333333336,20.27138888888889,6.31
7385,VulBD+19 4010,291.3691666666667,19.798611111111114,5.16
7386,BD+24 3737,291.35749999999996,24.912777777777777,6.19
7387,AqlBD+00 4206,291.6295833333333,0.3386111111111111,4.66
7388,CP-55 9096,292.46916666666664,-55.44138888888889,6.13
7389,BD+12 3907,291.60041666666666,13.023888888888889,5.74
